"name";"jobTitle";"Place_of_Birth";"BirthDate";"DeathDate"
John Singleton;Producer, Director, Actor;1968-01-06;USA;NA
Irvin Kershner;Director, Cinematographer, Actor;1923-04-29;USA;2010-11-27
Iain Softley;Director, Producer, Writer;1958;UK;NA
Ryan Murphy;Writer, Producer, Music Department;1965-11-30;USA;NA
David Carson;Director, Producer, Writer;NA;England;NA
Scott Hicks;Director, Writer, Assistant Director;1953-03-04;Uganda;NA
Stanley Kubrick;Director, Writer, Producer;1928-07-26;USA;1999-03-07
Lee Tamahori;Director, Assistant Director, Sound Department;1950-04-22;New Zealand;NA
Adam Shankman;Producer, Miscellaneous Crew, Director;1964-11-27;USA;NA
David O. Russell;Producer, Director, Writer;1958-08-20;USA;NA
Gary Ross;Writer, Director, Producer;1956-11-03;USA;NA
Joseph Ruben;Director, Writer, Producer;1950-05-10;USA;NA
Mark Dindal;Visual Effects, Writer, Animation Department;NA;USA;NA
Alan Parker;Director, Writer, Soundtrack;1944-02-14;UK;NA
Andy Wachowski;Writer, Director, Producer;1967-12-29;USA;NA
Lana Wachowski;Writer, Director, Producer;1965-06-21;USA;NA
Les Mayfield;Producer, Director, Camera Department;NA;USA;NA
Richard Donner;Director, Producer, Actor;1930-04-24;USA;NA
Sacha Gervasi;Writer, Director, Producer;1966;UK;NA
David Schwimmer;Actor, Director, Soundtrack;1966-11-02;USA;NA
James McTeigue;Assistant Director, Director, Art Department;NA;NA;NA
Ashutosh Gowariker;Writer, Actor, Producer;1964-02-15;NA;NA
John Huston;Actor, Director, Writer;1906-08-05;USA;1987-08-28
Jan de Bont;Cinematographer, Producer, Director;1943-10-22;Netherlands;NA
Don Bluth;Animation Department, Director, Producer;1937-09-13;USA;NA
Nigel Cole;Director, Actor, Assistant Director;1959;UK;NA
Charles Guard;Director, Producer, Writer;NA;UK;NA
Thomas Guard;Director, Camera Department, Producer;NA;UK;NA
Krzysztof Kieslowski;Writer, Director, Actor;1941-06-27;Poland;1996-03-13
Tony Scott;Producer, Director, Actor;1944-06-21;UK;2012-08-19
Mike Mitchell;Director, Actor, Writer;NA;NA;NA
Akiva Schaffer;Writer, Director, Soundtrack;1977-12-01;USA;NA
Mike McCoy;Producer, Director, Stunts;NA;NA;NA
Scott Waugh;Stunts, Producer, Actor;NA;NA;NA
Mark Rosman;Director, Writer, Producer;1959;NA;NA
John Ford;Director, Producer, Writer;1894-02-01;USA;1973-08-31
Wilson Yip;Director, Actor, Writer;NA;NA;NA
Cary Fukunaga;Director, Producer, Cinematographer;1977-07-10;USA;NA
Bill Paxton;Actor, Director, Producer;1955-05-17;USA;NA
Andy Tennant;Producer, Director, Writer;1955;USA;NA
Ingmar Bergman;Writer, Director, Actor;1918-07-14;Sweden;2007-07-30
Alan J. Pakula;Producer, Director, Writer;1928-04-07;USA;1998-11-19
Christian Alvart;Director, Producer, Writer;1974-05-28;Germany;NA
Paul Brickman;Writer, Director, Producer;1949-04-23;USA;NA
Vadim Perelman;Director, Producer, Writer;1963;USSR [now Ukraine];NA
Barry Levinson;Producer, Writer, Director;1942-04-06;USA;NA
Saul Dibb;Director, Writer, Cinematographer;1968;UK;NA
Jennifer Kent;Actress, Director, Writer;NA;NA;NA
Frank Oz;Actor, Miscellaneous Crew, Soundtrack;1944-05-25;UK;NA
John Landis;Producer, Director, Actor;1950-08-03;USA;NA
Ron Howard;Actor, Producer, Director;1954-03-01;USA;NA
Roger Michell;Director, Producer, Actor;1956-06-05;South Africa;NA
Spike Lee;Director, Producer, Writer;1957-03-20;USA;NA
Michael Patrick King;Producer, Writer, Director;1954-09-14;USA;NA
Andrzej Bartkowiak;Cinematographer, Director, Actor;1950-03-06;Poland;NA
Larry Clark;Director, Writer, Actor;1943-01-19;USA;NA
Roger Michell;Director, Producer, Actor;1956-06-05;South Africa;NA
Jay Duplass;Producer, Writer, Actor;1973-03-07;USA;NA
Mark Duplass;Actor, Producer, Writer;1976-12-07;USA;NA
Roger Donaldson;Director, Producer, Writer;1945-11-15;Australia;NA
Stuart Hazeldine;Writer, Director, Producer;1971-06-10;UK;NA
Ki-duk Kim;Writer, Director, Producer;1960-12-20;South Korea;NA
Jon Poll;Editor, Producer, Director;NA;NA;NA
Giuseppe Tornatore;Writer, Director, Producer;1956-05-27;Italy;NA
Brian Klugman;Actor, Writer, Director;1975-09-14;USA;NA
Lee Sternthal;Writer, Director, Actor;NA;NA;NA
Luc Besson;Writer, Producer, Director;1959-03-18;France;NA
Andy Tennant;Producer, Director, Writer;1955;USA;NA
Leonard Nimoy;Actor, Director, Producer;1931-03-26;USA;2015-02-27
Charles Chaplin;Writer, Actor, Director;1889-04-16;UK;1977-12-25
John Hughes;Writer, Producer, Director;1950-02-18;USA;2009-08-06
Dennis Dugan;Actor, Director;1946-09-05;USA;NA
Jon Lucas;Writer, Producer, Director;NA;NA;NA
Scott Moore;Writer, Producer, Director;NA;NA;NA
Mick Jackson;Director, Producer, Writer;1943-10-04;UK;NA
Shawn Levy;Producer, Director, Actor;1968-07-23;Canada;NA
Tom Dey;Director, Producer;1965-04-14;USA;NA
Robert Longo;Director, Writer, Soundtrack;1953-01-07;USA;NA
Jake Kasdan;Producer, Director, Actor;1974-10-28;USA;NA
R.J. Cutler;Producer, Director, Actor;1962;NA;NA
Stuart Baird;Editor, Editorial Department, Director;1947-01-14;UK;NA
Gregg Araki;Director, Writer, Editor;1959-12-17;USA;NA
